algo,seed,arm,episodes,selected_ep,init,selected,final,maxloss,late_loss_c,late_loss_a,trainret,replayret
dqn,42,headline,500,299,-59.045756160905334,0.7550788933268135,0.2410175756166506,9.145870321326786,2.062768508359511,0.15004645443210995,8.938305419056896,2.3214531177931224
dqn,42,cashflow,750,549,-59.045756160905334,0.01856941948878188,-5.995787454686173,1234476.6823125205,192283.50651530252,60303.17241570155,9997.378678073175,9997.378678073175
dqn,7,headline,350,149,-93.51091443057584,4.249395196061964,3.9928625615912186,8.451421039049016,2.384797574840734,2.8131302613765,9.316013961734534,3.7661320447388738
dqn,7,cashflow,250,98,-93.51091443057584,2.6238611292871106,1.2317980890090654,1249379.7331158957,180044.80729418033,133908.5692067464,10005.780798089885,10005.780798089885
dqn,99,headline,500,299,-58.21024539796964,2.8044336048241134,2.37850605444208,13.465951908959283,2.013668807908828,0.7007658204684654,5.220767699823098,3.599681194793232
dqn,99,cashflow,300,99,-58.21024539796964,-3.1841061884429145,-7.087781119087719,1105740.5310629527,159772.47779304028,343526.35662027996,10001.41599484317,10001.41599484317
dqn,123,headline,350,149,-4.945741770812002,7.874111249311183,7.4360360862321855,9.914331381971186,2.1287980818559253,0.37187649843593434,-4.074544036341806,3.253736025101124
dqn,123,cashflow,300,99,-4.945741770812002,6.113288655144601,-0.5829487411301683,1131479.479879252,168976.3498548353,262846.9350341797,9994.278103825205,9994.278103825205
dqn,2024,headline,350,149,-44.178932578577,-0.12706650162042188,-0.3399258927742852,10.195517726846644,2.1316514472809334,0.10077062705531714,4.75205082781023,1.9748238470934225
dqn,2024,cashflow,350,149,-44.178932578577,-14.4899496567479,-15.650374769098727,954411.5513774873,163740.3082465278,274856.7029988606,9995.557368273156,9995.557368273156
dqn,314,headline,650,449,2.9902474832682104,9.817951655954573,9.424754025144466,8.580541247906892,1.7620560384932018,0.32546115570391215,-3.526569215024214,4.456646325739317
dqn,314,cashflow,750,549,2.9902474832682104,6.083894173960289,5.867952754871036,1103282.7401730856,175582.470508646,164568.36703948973,10005.401592718421,10005.401592718421
dqn,577,headline,350,149,-38.2070977389736,8.440451685182591,7.893789336139202,11.410179456075031,1.9693325206717354,0.20829720571637145,1.2511458213482987,5.166787690551456
dqn,577,cashflow,500,299,-38.2070977389736,5.7048044244781515,2.532756777937027,1194097.6937683742,185668.73600983794,143323.26068820956,9994.437860504033,9994.437860504033
dqn,811,headline,600,399,-8.030590344308296,1.8101354290386598,1.067368845688478,7.122493615964564,1.843958640312694,0.07194242815797525,5.422232028353549,4.850381234717854
dqn,811,cashflow,300,99,-8.030590344308296,0.013126630739854317,-0.4241524659554852,1286490.8276423137,187298.01174352533,98843.69364471435,10004.573105762827,10004.573105762827
dqn,1618,headline,250,98,-31.82037165950513,1.513678126373417,0.1137116928095515,17.132749598366875,3.8526706330978824,3.4261728626986345,3.580283396628943,3.289435152176294
dqn,1618,cashflow,350,149,-31.82037165950513,1.3422001037415312,-0.2843843646296606,1513100.191666667,193003.1282552083,111388.19636688233,10003.723228881658,10003.723228881658
dqn,2718,headline,400,199,-12.364833267304796,4.940424780413399,4.785639023257827,7.635093533715536,3.292001429449294,1.7544477173437674,7.057693034746421,2.7562470939661368
