market,algorithm,pnl_gap_mean,ci_low,ci_high,risk_penalty_reduction
CAT,dqn,-1.2887727543323049,-1.9683162198076272,-0.6873427816946264,3.734652660412833
CAT,ddpg,-0.8332433726578177,-1.5925198628856694,-0.22461438589833893,4.247064740234938
CAT,td3,-1.8941607207736078,-3.07892029359538,-1.0770133917265807,4.352010001003912
CAT,sac,-1.5559593753127432,-1.905984060406664,-1.1717904255005314,4.330384479715912
GOOGL,dqn,-0.18943321140259423,-0.6879672532333925,0.24009498400445334,3.5137976894855028
GOOGL,ddpg,-0.19894674368288584,-0.6597548866889328,0.2724319031838111,3.786704678016007
GOOGL,td3,0.09573151180370995,-0.48657362953214073,0.6554101393119905,4.162945326646151
GOOGL,sac,-0.22596809699408107,-0.8631908289034242,0.391598933858779,4.1139489266212985
JPM,dqn,-2.578083889007053,-3.642669832280756,-1.603915397344749,3.9403885218607235
JPM,ddpg,-1.6434697529868891,-2.23828636346841,-1.049201595575974,4.218425368959771
JPM,td3,-1.7579088068034092,-2.573084627831201,-0.9260427675907611,4.158063074096816
JPM,sac,-1.626510978597242,-2.176151241969175,-1.1091169869799662,4.224389881530273
MSFT,dqn,0.007498246411506426,-0.8657830943865544,0.7272921103240358,3.354136098022548
MSFT,ddpg,-0.310571964188763,-1.1913099140316634,0.48234948637365116,3.2921743670883727
MSFT,td3,-0.11846889236153588,-1.2625252585734494,0.7656915431371933,3.7614260925295726
MSFT,sac,-0.8518241229163557,-2.1681480778403515,0.17915165637354155,3.4812387187885436
PG,dqn,-1.7053649302988823,-2.267415043937354,-1.2462030119481051,4.101331973800361
PG,ddpg,-1.482474878527583,-1.9759819078228233,-0.9020663851475687,4.26960760953294
PG,td3,-1.6420477713920356,-2.256809012318471,-1.129755821820192,4.332117016969829
PG,sac,-1.4637443864304323,-1.968512312910823,-0.9670054458730484,4.158733891133331
Synthetic,dqn,-0.7726845107636227,-1.6713019738732944,-0.020015848380447808,3.922076952373781
Synthetic,ddpg,-0.6900683293935325,-1.0464444244871893,-0.3139918541647548,4.261465111393706
Synthetic,td3,-0.5165941746756978,-1.1003176366834417,0.10067670417969875,4.4632191779106245
Synthetic,sac,-0.5833872569595769,-1.3104480416870778,0.11754163423623887,4.38260138949469
