/Users/juliusgraf/.matplotlib is not a writable directory
Matplotlib created a temporary cache directory at /var/folders/b_/d4crx28d0235248h85260x280000gn/T/matplotlib-ag2ohvme because there was an issue with the default path ({configdir}); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Matplotlib is building the font cache; this may take a moment.
   market   phase    h_mae  mid_mae  mae_gain   ci_low  ci_high   h_rmse  mid_rmse
      CAT auction 0.032776 0.120412  0.087637 0.082188 0.092814 0.050060  0.160369
      CAT    clob 0.112486 0.131365  0.018880 0.017889 0.019919 0.167058  0.180887
    GOOGL auction 0.026449 0.102393  0.075943 0.071405 0.081541 0.044927  0.130801
    GOOGL    clob 0.080327 0.098700  0.018373 0.017804 0.018900 0.113053  0.131196
      JPM auction 0.034304 0.147335  0.113031 0.108793 0.117007 0.053066  0.170499
      JPM    clob 0.116608 0.134652  0.018044 0.016580 0.019601 0.158331  0.171870
     MSFT auction 0.040875 0.158773  0.117898 0.109575 0.125527 0.067187  0.187531
     MSFT    clob 0.126731 0.148233  0.021502 0.020541 0.022358 0.185262  0.207296
       PG auction 0.022747 0.096495  0.073748 0.068599 0.078823 0.035535  0.116374
       PG    clob 0.075105 0.086211  0.011106 0.010654 0.011623 0.109288  0.117348
Synthetic auction 0.048755 0.140310  0.091555 0.085719 0.096831 0.087804  0.181774
Synthetic    clob 0.180040 0.192509  0.012468 0.010435 0.014304 0.290406  0.296016
