phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.032454194056978275,0.10679999999999876,0.0024758678306990903,0.021071999999999536,ddpg,CAT,123
clob,0.10607368656793381,0.12735565655248016,0.02608031206910669,0.03129743457676818,ddpg,CAT,123
auction,0.031415509377930834,0.11469999999999939,0.0020760488487836853,0.022356999999999766,ddpg,CAT,1618
clob,0.11020154499099848,0.1293966626593783,0.0261708705659228,0.03126347530190881,ddpg,CAT,1618
auction,0.033899792825062273,0.10989999999999807,0.0026812764354710245,0.022558999999999472,ddpg,CAT,2024
clob,0.11969835618650743,0.1372723348211061,0.031778320924084495,0.03622052530791362,ddpg,CAT,2024
auction,0.03494181397600202,0.13570000000000004,0.002561550157236388,0.032822999999999894,ddpg,CAT,2718
clob,0.12428943340092362,0.14518799167911184,0.03349150885172645,0.03928512515821193,ddpg,CAT,2718
auction,0.03197696431179027,0.1265999999999988,0.0024329367250935496,0.027371999999999813,ddpg,CAT,314
clob,0.11413174840624053,0.1328773948903489,0.03032231768622567,0.034845843809655455,ddpg,CAT,314
auction,0.02842352626424468,0.12109999999999982,0.0017774282904671548,0.022842999999999773,ddpg,CAT,42
clob,0.10789607619668974,0.12508101468773875,0.024738136980343862,0.029021128150513782,ddpg,CAT,42
auction,0.029936987332408172,0.11849999999999834,0.0019588521503900607,0.025518999999999546,ddpg,CAT,577
clob,0.1090232832060483,0.13004760406560617,0.02638019036553487,0.031951880589835266,ddpg,CAT,577
auction,0.03446036287058214,0.12349999999999792,0.0033819614293207163,0.027858999999999478,ddpg,CAT,7
clob,0.10363423233549521,0.12251064063344524,0.023500461355423018,0.027859694512030665,ddpg,CAT,7
auction,0.03464728643116574,0.13279999999999884,0.0024807386714039413,0.03149399999999948,ddpg,CAT,811
clob,0.11546189622730785,0.13251644957729383,0.028353058590101083,0.032618487757497386,ddpg,CAT,811
auction,0.03401941089678777,0.11539999999999832,0.002474617302711896,0.02210999999999955,ddpg,CAT,99
clob,0.11014594049602959,0.12727141204353817,0.026046513660311018,0.03071395147023497,ddpg,CAT,99
