market,phase,h_mae,mid_mae,mae_gain,ci_low,ci_high,h_rmse,mid_rmse
CAT,auction,0.032775528920723676,0.12041249999999884,0.08763697107927515,0.08218773745214389,0.09281364889015774,0.050059799447068086,0.16036918344869014
CAT,clob,0.11248567131705219,0.13136534520977977,0.018879673892727634,0.017888636576781306,0.019918772482441238,0.16705808068321093,0.1808872080264088
GOOGL,auction,0.02644938282960798,0.10239250000000089,0.07594311717039288,0.07140542494095985,0.08154079533135085,0.044927081777356694,0.1308007071846334
GOOGL,clob,0.0803265364549086,0.09869966972588409,0.01837313327097547,0.017804109812211297,0.018899993688977892,0.11305349256525327,0.13119581642516542
JPM,auction,0.034304094157029355,0.14733500000000138,0.11303090584297201,0.10879273529102618,0.11700712392582396,0.053066127319784565,0.17049912023233613
JPM,clob,0.1166081687593705,0.13465184474798547,0.01804367598861497,0.01658021535472387,0.019601261859720494,0.1583307562294062,0.17187045585463667
MSFT,auction,0.040874603367503155,0.15877250000000048,0.11789789663249732,0.1095751572546641,0.1255266600888133,0.06718694731348547,0.18753086412641456
MSFT,clob,0.12673060921180285,0.14823251169915122,0.021501902487348408,0.020541404745080205,0.02235829538140455,0.18526159863730243,0.20729580422628166
PG,auction,0.022746619971589156,0.09649499999999991,0.07374838002841073,0.06859877003920295,0.07882276358652986,0.035535033285995936,0.11637418098530239
PG,clob,0.07510539988309106,0.08621145606424042,0.011106056181149354,0.010654365042785049,0.011623491822120883,0.1092876583111679,0.11734772800543206
Synthetic,auction,0.04875504142687205,0.1403100000000002,0.09155495857312818,0.08571906484431457,0.09683102382805893,0.08780356154144395,0.18177444814934837
Synthetic,clob,0.18004040092118404,0.19250850225538496,0.012468101334200963,0.010434773069697199,0.014303826883950993,0.2904057819559696,0.2960162421260282
