setting,policy,env_seed,pnl,objective,auction_qty
synthetic,as,1585822808,61.34061090357136,60.974722052185385,0.0
synthetic,as,984521277,33.77867902006983,33.5785908455245,0.0
synthetic,as,1615630773,43.472937844542685,43.159417050814305,0.0
synthetic,as,985921782,32.36459648429627,32.303835565748514,0.0
synthetic,as,1788653630,31.69317404188041,31.3043636997043,0.0
synthetic,as,444732558,20.350301195627253,20.34891477732687,0.747739775709006
synthetic,as,67196417,49.30879313885998,49.28705350295442,0.0
synthetic,as,1773553992,68.29960350447072,68.25319350244983,0.0
synthetic,as,148538406,43.61239872190163,43.60261050005872,0.0
synthetic,as,459302025,12.441899699071655,12.200842726091638,0.0
synthetic,as,1210500584,0.535233103642895,0.5351766889824905,0.8950517084807706
synthetic,as,1639125072,66.5403740102447,66.54018835341371,0.6904161584115183
synthetic,as,1152564586,60.24060987168741,60.17858822577636,0.0
synthetic,as,2055578956,48.8851293984153,48.88497483963154,0.0
synthetic,as,1352909904,58.81569890729406,58.708355316830655,0.0
synthetic,as,1321498069,63.50378335938876,63.0825453424812,0.0
synthetic,as,2062231672,67.84994364465274,67.5848337344842,0.0
synthetic,as,1458235927,37.00483907009948,36.978955226893255,0.0
synthetic,as,1827455806,50.3772487087972,50.0643123817732,0.0
synthetic,as,193140014,51.66947116015399,51.456968642004,0.0
synthetic,as,389603938,43.07500163129225,42.7232595983544,0.0
synthetic,as,2023655374,40.30112078789898,20.57630581310004,0.0
synthetic,as,1677194741,56.48152086867776,56.32446656561529,0.0
synthetic,as,396575567,39.38727293586271,39.19079057955651,0.0
synthetic,as,90257200,17.864075304398284,17.687510683765733,0.0
synthetic,as,707844845,19.984158816663694,19.711767522657205,0.0
synthetic,as,453402989,38.49044115934157,38.392846358329855,0.0
synthetic,as,1840954569,64.22269945768312,63.99536635990535,0.0
synthetic,as,582179270,5.843110252208135,5.787094914081544,0.13232714560970613
synthetic,as,475919068,27.979964970541914,27.62300038113942,0.0
synthetic,as,1094560733,38.043388468295234,38.04329630731762,0.6228414577090986
synthetic,as,965465730,27.026384280186903,26.653664282228423,0.0
synthetic,as,1953490749,50.97877065590001,50.97865549455819,0.0
synthetic,as,1812834367,37.91018761610576,37.76793826570264,0.0
synthetic,as,2057237114,49.63125925926943,49.55815520886093,0.0
synthetic,as,905308394,35.45399943774828,35.45399943774828,0.29371929092699745
synthetic,as,1107442890,54.53086608666854,54.13865074659457,0.0
synthetic,as,1848589572,46.017587553405974,45.91135213376631,0.0
synthetic,as,1221086428,15.991315339548237,15.661565600192903,0.0
synthetic,as,268333670,30.701828827877762,30.667582361794008,0.0
synthetic,as,1136859353,39.727583502630296,39.34168107225403,0.0
synthetic,as,1610430699,2.7453996522290254,2.6694345421524837,0.0
synthetic,as,425407835,38.13115268130059,38.131064702543625,0.0
synthetic,as,449245545,40.21694468331589,39.72234125188037,0.0
synthetic,as,629899046,80.33120031398721,79.9332318680897,0.0
synthetic,as,1064960827,45.3752482116779,45.35551964127953,0.0
synthetic,as,1822710255,62.695758857602414,62.695758857602414,0.7938636174195448
synthetic,as,622236922,43.69476525525897,43.43599972376242,0.0
synthetic,as,722474854,41.931292100574865,41.644318606513025,0.0
synthetic,as,522928946,83.91898937722362,83.8681467735466,0.0
synthetic,as,323197707,71.92736799094382,71.92736273915443,0.2711072152430985
synthetic,as,1476032906,49.98749163979301,49.98689449850314,0.0
synthetic,as,451288657,54.24949999502496,54.245800522820794,0.0
synthetic,as,32568404,34.7786442106426,34.385075551290534,0.0
synthetic,as,2111651868,45.99563860256785,45.778094098770055,0.0
synthetic,as,1658564002,52.82447329920069,52.824281093026954,0.9043209051363674
synthetic,as,1894646862,34.4527343968075,34.45273403240014,0.06790874811619856
synthetic,as,865924799,21.202724533541186,20.74073763738028,0.0
synthetic,as,177424292,40.06373785083633,39.969966157652934,0.0
synthetic,as,1709491107,30.548232016426482,30.252673089635664,0.0
synthetic,as,195690708,46.96589006016802,46.52667555908831,0.0
synthetic,as,1499924103,68.10038468532366,67.76605627362395,0.0
synthetic,as,1109817981,26.517123184010416,26.44463293470107,0.0
synthetic,as,385332263,-10.310870599292684,-10.505938130813641,0.0
synthetic,as,1844441823,26.222252404546452,25.773516906704305,0.0
synthetic,as,179641510,-26.998063046408788,-27.259136845299324,0.0
synthetic,as,870942306,62.52695309935734,62.15204638056983,0.0
synthetic,as,1311016458,11.297410104742085,10.905794384271712,0.0
synthetic,as,1805032828,45.20191592273113,45.12696197503834,0.0
synthetic,as,303740759,45.027652118913466,45.024679948884966,0.0
