calibration,reserve,schedule,alpha,beta,depth_scale,seed,inventory_open,auction_fill,inventory_final,pnl,objective,shaped_return,interim_credit,clearing_displacement,k_star,q,lambda_inv
penny_b05,0,all,0.01,0.05,10.0,1050297464.25,0.6446405469345726,4.70150989577491,-4.056869348840337,1.4791927758352585,-9.020235793911903,468.7620430979542,480.8583594428474,-0.05562499999999736,10000.0,,
penny_b05,0,last1,0.01,0.05,10.0,1050297464.25,0.6446405469345726,0.1577081298131871,0.4869324171213855,1.866936344587998,1.736841548682315,14.685360997701997,16.02460000000051,-0.05062499999999657,10000.0,,
penny_b05,0,last10,0.01,0.05,10.0,1050297464.25,0.6446405469345726,1.470959964785575,-0.8263194178510024,1.7845611788104634,1.3118690304693512,158.4897884794927,160.25400000000457,-0.05249999999999753,10000.0,,
penny_b05,0,noop,0.01,0.05,10.0,1050297464.25,0.6446405469345726,0.0,0.6446405469345726,1.8748765917951005,1.6555257739729874,-1.4205547770082019,0.0,-0.05062499999999657,10000.0,,
penny_b05,10,all,0.01,0.05,10.0,1050297464.25,10.475072351594124,4.70150989577491,5.773562455819213,3.4667700335370455,-15.373382603149642,462.89768344059775,480.8583594428474,-0.05562499999999736,10000.0,,
penny_b05,10,last1,0.01,0.05,10.0,1050297464.25,10.475072351594124,0.1577081298131871,10.317364221780936,3.8545136022898987,-49.41062633704708,-35.9733197361462,16.02460000000051,-0.05062499999999657,10000.0,,
penny_b05,10,last10,0.01,0.05,10.0,1050297464.25,10.475072351594124,1.470959964785575,9.004112386808549,3.7721384365122503,-36.89889169764154,120.76781490326314,160.25400000000457,-0.05249999999999753,10000.0,,
penny_b05,10,noop,0.01,0.05,10.0,1050297464.25,10.475072351594124,0.0,10.475072351594124,3.8624538494968874,-51.04280768008432,-53.630101079184186,0.0,-0.05062499999999657,10000.0,,
penny_b05,20,all,0.01,0.05,10.0,1050297464.25,20.396222864227127,4.70150989577491,15.694712968452215,5.47548114282074,-119.95097809102417,358.81722894473654,480.8583594428474,-0.05562499999999736,10000.0,,
penny_b05,20,last1,0.01,0.05,10.0,1050297464.25,20.396222864227127,0.1577081298131871,20.23851473441394,5.863224711574048,-198.97538350981637,-185.04093591690264,16.02460000000051,-0.05062499999999657,10000.0,,
penny_b05,20,last10,0.01,0.05,10.0,1050297464.25,20.396222864227127,1.470959964785575,18.925262899441552,5.780849545796059,-173.47964082365266,-15.315793230734823,160.25400000000457,-0.05249999999999753,10000.0,,
penny_b05,20,noop,0.01,0.05,10.0,1050297464.25,20.396222864227127,0.0,20.396222864227127,5.87116495878081,-202.17131640722158,-204.26146881430836,0.0,-0.05062499999999657,10000.0,,
