run,algorithm,setting,seed,phase_normalization,inventory_asinh,episodes,objective,pnl,auction_gain
ddpg_asinh,ddpg,synthetic_rough_heston,628,True,True,180,9.342979589115835,10.578158311296441,0.4638667803697084
ddpg_asinh_history,ddpg,historical_sp500_midquotes,627,True,True,180,6.773062562556127,7.292637959525689,0.3260085124578629
ddpg_phase,ddpg,synthetic_rough_heston,628,True,False,180,8.297880140686349,10.102088956756845,-0.13352160999284182
ddpg_seed8841_asinh,ddpg,synthetic_rough_heston,8841,True,True,180,11.283733180948246,12.071079294148689,0.2833073699210322
ddpg_seed8841_v16,ddpg,synthetic_rough_heston,8841,False,False,180,10.99555689840649,12.16532550412883,-0.0048689126207242875
dqn_asinh,dqn,synthetic_rough_heston,628,True,True,180,11.185638725832327,12.155866757559249,-0.27687521766114565
dqn_asinh_history,dqn,historical_sp500_midquotes,627,True,True,180,5.124202934278549,5.296492954755462,-0.055883595742686185
dqn_phase,dqn,synthetic_rough_heston,628,True,False,180,11.215347429500138,12.06995331039077,-0.1804060125037528
dqn_phase_history,dqn,historical_sp500_midquotes,627,True,False,180,5.201264675474253,5.5902616301926,0.16302356729690948
sac_asinh,sac,synthetic_rough_heston,628,True,True,180,10.689814718988728,11.19138586298397,0.2099114341457993
sac_asinh_history,sac,historical_sp500_midquotes,627,True,True,180,4.964796701521992,5.579612540594253,0.30294048345089386
td3_asinh,td3,synthetic_rough_heston,628,True,True,180,9.792577316466692,10.058147350099729,0.2803766767184095
td3_asinh_history,td3,historical_sp500_midquotes,627,True,True,180,5.654610957343873,6.462770984269252,0.21921035816402243
td3_phase,td3,synthetic_rough_heston,628,True,False,180,9.019031448988178,9.722925979689212,0.14098779552251575
td3_seed8841_asinh,td3,synthetic_rough_heston,8841,True,True,180,11.275825642843808,11.560143721566776,0.2753998318165931
td3_seed8841_v16,td3,synthetic_rough_heston,8841,False,False,180,11.252561652828842,11.819317321047187,0.25213584180162874
