run,algorithm,seed,episodes,status,control_exploration,centered_phases,known_fee,selected_episode,selected_validation,paths,pnl,objective,auction_value,auction_value_se,cancels,opening_abs_inventory,final_abs_inventory,as_objective,twap_objective
auction_centered853,dqn,853,200,completed,0.5,['auction'],False,104,3.289382083414288,128,3.847927928206257,3.2842603181365626,-0.012184552018795869,0.10732584745595751,4.078125,3.8664782366499457,3.996648665910607,2.525268655861028,-3.652468153892247
auction_centered881,dqn,881,200,completed,0.5,['auction'],False,200,9.708797172797158,128,10.067136277350507,8.19449901806448,0.30426674108681173,0.08700529423664655,2.5078125,8.59253696671103,7.992386549722051,3.9835933918208766,-0.687510300454186
auction_centered911,dqn,911,200,completed,0.5,['auction'],False,200,4.792480023605988,128,3.5875384630654388,2.681486208604858,0.12198687049726842,0.09479511629397323,3.703125,4.442321805881515,4.165066978048099,1.7151295879088249,-6.203966573810728
auction_centered_msft887,dqn,887,200,completed,0.5,['auction'],False,200,5.378074997670082,128,7.157940042615143,3.5479123827626253,0.8186012743554981,0.1930022268861574,3.0390625,12.80604856251424,11.438363500139062,1.6811747694871095,-1.751360413181549
centered853,dqn,853,200,completed,0.5,"['clob', 'auction']",False,104,0.05686972932998491,128,4.304588853650088,1.9949056656847746,0.23535474480768476,0.2631957239446468,2.03125,11.426245840002267,11.279640505814989,2.525268655861028,-3.652468153892247
centered881,dqn,881,200,completed,0.5,"['clob', 'auction']",False,150,4.955058108141987,128,6.832177584438179,3.911862571350103,0.0018063609588599427,0.11415600920870637,3.09375,12.315212272097854,12.689543900356176,3.9835933918208766,-0.687510300454186
centered_exact853,dqn,853,200,completed,0.5,"['clob', 'auction']",False,200,-0.31183597057137336,128,4.047030330751779,1.7806655716136572,0.4800644823108958,0.1799081566495735,1.140625,15.214464324820455,12.405640252400838,2.525268655861028,-3.652468153892247
centered_exact881,dqn,881,200,completed,0.5,"['clob', 'auction']",False,150,3.841803039104452,128,6.282707045582979,3.579157715946814,-0.026825293791695008,0.059995757449345696,3.6015625,12.522788879325695,12.640643835105653,3.9835933918208766,-0.687510300454186
centered_exact911,dqn,911,200,completed,0.5,"['clob', 'auction']",False,104,3.3976223052606382,128,1.8685510288078557,0.46458324668180806,0.2920308688951725,0.23997259353852432,5.8828125,6.859370201899697,6.052221427094944,1.7151295879088249,-6.203966573810728
centered_exact_msft887,dqn,887,200,completed,0.5,"['clob', 'auction']",False,150,5.13495693290166,128,5.411590510161812,2.634017446708931,0.5303232478895028,0.1744955925233638,1.78125,10.792563609399508,9.576821702191143,1.6811747694871095,-1.751360413181549
controls853,dqn,853,200,completed,0.5,[],False,104,3.1816519684133207,128,3.5982928173764783,2.5827757688119792,-0.19817921549934414,0.11275350730539246,12.6328125,5.171666170502064,5.395264076510896,2.525268655861028,-3.652468153892247
controls881,dqn,881,200,completed,0.5,[],False,200,9.585389762703688,128,9.657996621711609,7.861252859583203,1.3547308783568575,0.2585696532017601,7.53125,12.204885676922668,8.648963223365701,3.9835933918208766,-0.687510300454186
ddpg911,ddpg,911,200,completed,0.0,[],False,200,6.424137399648623,128,4.911431681189567,4.209905198813754,0.22048471801711764,0.07576990932451313,1.484375,2.9324733895382087,4.154570955759508,1.7151295879088249,-6.203966573810728
frozen929,dqn,929,200,completed,0.5,['auction'],False,200,5.526337615628811,128,4.864836716494359,2.778795436201342,-0.04401303480789705,0.06831578077520119,5.5859375,8.473029861280764,8.578227476835323,2.024724570461129,-4.349627648036246
known_fee853,dqn,853,200,completed,0.5,['auction'],True,104,2.986379597127122,128,3.4833126026197005,2.8399233766331298,-0.17942518828773463,0.1378180138298539,4.03125,3.862138567378598,4.4016144609762735,2.525268655861028,-3.652468153892247
known_fee929,dqn,929,200,completed,0.5,['auction'],True,104,5.681414836336126,128,6.467054897287275,2.9243042568454904,0.09844795602783604,0.07838887100745102,6.2265625,11.893363453134661,11.948631547737705,2.024724570461129,-4.349627648036246
known_fee941,dqn,941,200,completed,0.5,['auction'],True,104,1.8562133257822506,128,3.851314320685847,3.2964573769993235,-0.04036531274441835,0.07781952143314613,5.6640625,3.5690017513927943,3.9968459647193475,0.4198069829328047,-7.709010149398916
one_step853,dqn,853,200,completed,0.5,['auction'],False,200,2.5938429289330385,128,5.140912136809555,2.9534665780031966,0.30108235180125253,0.303098224274645,7.390625,7.645880617231542,7.495397632887137,2.525268655861028,-3.652468153892247
one_step881,dqn,881,200,completed,0.5,['auction'],False,150,8.412799224811586,128,8.755550640859516,7.964081416442218,-0.04695611620803367,0.10689878301927129,3.3515625,4.815306704823838,5.69588888846622,3.9835933918208766,-0.687510300454186
one_step929,dqn,929,200,completed,0.5,['auction'],False,150,7.500017547368685,128,5.7000638739683245,3.8073445420840133,0.3100320515698929,0.18850346145328728,5.625,9.4458306276256,8.864643136111498,2.024724570461129,-4.349627648036246
one_step947,dqn,947,200,completed,0.5,['auction'],False,99,2.354984007818584,128,5.1064942828475175,3.795516497854763,0.7726344177029235,0.19550643093252884,4.2421875,6.912174943735359,6.34413434632377,2.7980887827026093,-7.357623638933432
one_step_msft887,dqn,887,200,completed,0.5,['auction'],False,200,6.264004952512169,128,6.951420044510945,3.889490029377225,0.648707019149942,0.1504334114606442,2.0,12.232983487198968,11.470719955484638,1.6811747694871095,-1.751360413181549
sac911,sac,911,200,completed,0.0,[],False,100,5.57103775711035,128,3.555545760687407,1.7675925590262032,1.5971663906800966,0.5222964234886083,3.84375,7.267762717053149,8.640079017727803,1.7151295879088249,-6.203966573810728
td3911,td3,911,200,completed,0.0,[],False,150,5.915924860225462,128,4.026212778850229,2.2612971029103477,0.4010978828279954,0.11788493229335924,2.796875,6.206639625819465,6.019896723808267,1.7151295879088249,-6.203966573810728
warmup853,dqn,853,200,completed,0.0,[],False,200,0.5290180681393112,128,2.3983680152930926,0.45281108994344643,-0.23861885632646537,0.0714246939879749,12.5234375,6.66545607670195,6.79944900444497,2.525268655861028,-3.652468153892247
warmup881,dqn,881,200,completed,0.0,[],False,200,8.450569125908881,128,8.436587612488468,7.746393600459495,-0.06508227808931202,0.04250494586592747,5.8046875,4.398206989649841,4.446370304309411,3.9835933918208766,-0.687510300454186
