run,phase,max_loss,max_absolute_q,initial_objective,final_objective,final_objective_se,learning_rate_episode,extra_auction_updates,extra_clob_updates
stress_clip10881,auction,0.1466783583164215,27.932310104370117,10.71858187681788,9.564373198566106,3.887612429776308,127,20000,60000
stress_clip10881,clob,16.808984756469727,72.0220947265625,10.71858187681788,9.564373198566106,3.887612429776308,127,20000,60000
stress_clip10_msft887,auction,0.1125596165657043,28.27531623840332,4.784556929940702,3.9966662456118742,2.5875393399258417,127,20000,60000
stress_clip10_msft887,clob,12.992144584655762,59.08659362792969,4.784556929940702,3.9966662456118742,2.5875393399258417,127,20000,60000
stress_control827,auction,69.39433288574219,322.8019714355469,12.376939372251035,-22.19320077215511,5.219407838871324,47,20000,60000
stress_control827,clob,677.38818359375,105.4124526977539,12.376939372251035,-22.19320077215511,5.219407838871324,47,20000,60000
stress_half839,auction,0.589024543762207,37.17917251586914,2.796833238822155,0.1569537059583954,5.05872539241079,63,20000,60000
stress_half839,clob,19.005691528320312,45.45606231689453,2.796833238822155,0.1569537059583954,5.05872539241079,63,20000,60000
stress_half_msft841,auction,0.1082266569137573,20.197723388671875,-0.5840110046821508,-0.1132891756103709,3.2510002774194247,63,20000,60000
stress_half_msft841,clob,13.823393821716309,59.69751739501953,-0.5840110046821508,-0.1132891756103709,3.2510002774194247,63,20000,60000
stress_normalized827,auction,0.9418638944625854,52.34132766723633,10.97748673086412,-6.635489725706942,6.430448944782946,47,20000,60000
stress_normalized827,clob,3.226022243499756,53.56816101074219,10.97748673086412,-6.635489725706942,6.430448944782946,47,20000,60000
