episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,37.75570511751357,37.75472973346824,37.63956529385874,-7.162923700762365,0.0,-44.802488994621115,-0.11516443960925926,0.0,0.31231139033516797,0.3123113903351973,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,4.643796813799781,1.480188254921909,1.6189324853828697,-10.808131841862233,0.0,-12.4270643272451,0.0,0.1387442304610421,0.9584641965381451,-17.78653580346064,18.744999999998804,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,19.140260068330463,19.025854140018275,18.89343595057072,-5.277951250750392,0.0,-24.17138720132111,-0.08752149824073285,-0.044896691209507664,0.9323945410350092,3.3823945410343335,-2.449999999999335,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
3,10.797574189745719,10.795308462149444,10.491308465256616,-14.07714553474638,0.0,-24.56845400000299,-0.3058066568924005,0.0018066600000000688,0.5351101602077506,0.4759965962350738,0.059113563972659024,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4,14.0,-86.0,-86.0,-94.18930677614529,0.0,-8.189306776145274,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5,-40.32879637474798,-131.57964328542596,-131.51984252229724,-111.6532834813841,0.0,19.86655904091314,0.0,0.05980076312859238,100.0,95.52530916499458,4.474690835005423,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
6,16.089599999999336,-153.11846400000255,-153.28745826243787,-162.774152320429,0.0,-9.486694057991143,0.0,-0.1689942624350076,100.0,130.08000000000072,-30.080000000000723,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,-20.424072281341576,-120.11209545237364,-120.11052249987266,-113.9833933283319,0.0,6.127129171540785,0.0,0.0015729525000000599,100.0,99.8438897334394,0.15611026656060417,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,21.16209204340157,6.002041660002048,6.002041660002483,-8.696766343936755,-3.552713678800501e-15,-14.69880800393924,0.0,0.0,38.935909368344696,38.935909368344696,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,1.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
9,16.805302503818893,16.80404182887437,16.8040418288738,-0.3540223981081224,0.0,-17.15806422698192,0.0,0.0,0.3550598462967258,0.35505984629674003,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
