episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,37.75570511751357,37.75472973346824,36.591355692483006,-8.211133302138094,0.0,-44.802488994621115,-1.1633740409849906,0.0,0.31231139033516797,0.3123113903351973,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,4.685196813801667,1.4599271439019117,1.598327925586147,-10.82873640165895,0.0,-12.4270643272451,0.0,0.13840078168600137,0.9584641965381451,-17.959035803460484,18.917499999998647,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,19.140760068330565,19.029711534559407,18.502829781672077,-5.668557419649034,0.0,-24.17138720132111,-0.48179926221325786,-0.04508249067662671,0.9323945410350092,3.332394541034379,-2.3999999999993804,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
3,10.797574189745719,10.795308462149444,8.633220893723427,-15.935233106279565,0.0,-24.56845400000299,-2.1638942284255904,0.0018066600000000688,0.5351101602077506,0.4759965962350738,0.059113563972659024,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4,14.0,-86.0,-86.0,-94.18930677614529,0.0,-8.189306776145274,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5,-40.36048633994869,-132.01540541545006,-131.95548844171702,-112.08892940080385,0.0,19.86655904091314,0.0,0.05991697373298841,100.0,95.73657559966378,4.263424400336219,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
6,16.058399999999892,-153.774624000002,-153.9434443862566,-163.43013844424772,0.0,-9.486694057991143,0.0,-0.16882038625511206,100.0,130.32000000000073,-30.320000000000732,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,-20.424072281341576,-120.11209545237364,-120.11052249987266,-113.9833933283319,0.0,6.127129171540785,0.0,0.0015729525000000599,100.0,99.8438897334394,0.15611026656060417,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,21.16209204340157,6.002041660002048,5.745227789384735,-8.953580214554503,-3.552713678800501e-15,-14.69880800393924,-0.25681387061774785,0.0,38.935909368344696,38.935909368344696,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,1.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
9,16.805302503818893,16.80404182887437,16.8040418288738,-0.3540223981081224,0.0,-17.15806422698192,0.0,0.0,0.3550598462967258,0.35505984629674003,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
