episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,-8.684148220858333,-8.684445302165651,-23.458176094177873,5.299452295385176,0.0,28.757628389563045,-14.773730792010866,0.0,0.17236046742765154,0.17236046742764133,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,4.533551565398739,4.309281585747555,-3.4755033896562035,-12.887534949350187,0.0,-9.412031559693986,-7.856240582548139,0.07145560714280784,0.19667991196178036,-4.7357151482240125,4.93239506018579,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,-8.10776823922788,-10.657673273732481,-18.540080039957207,-23.989197560433762,0.0,-5.4491175204765385,-7.7134478970115765,-0.16895886921319142,0.31776117289852834,15.968422071402674,-15.650660898504142,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
3,11.57735511511055,11.570679822473982,7.517248757525479,-13.723218823132447,0.0,-21.240467580657917,-4.053431064945585,0.0,0.8170246407891426,0.8170246407891475,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
4,30.0,-70.0,-70.0,-110.6368959977598,0.0,-40.636895997759765,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
5,3.0710828825922363,-94.57352318711592,-94.5316077725868,-96.8342770955094,0.0,-2.302669322922616,0.0,0.04191541452812399,100.0,98.81528529013522,1.184714709864784,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
6,28.34415000000081,-119.29050024999913,-119.4467901779248,-162.6976544924,0.0,-43.250864314475265,0.0,-0.15628992792372878,100.0,121.50499999999997,-21.50499999999997,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
7,-78.40999329098901,-178.14693799821578,-178.14559596321592,-132.47986418456986,0.0,45.66573177864598,0.0,0.0013420350000000508,100.0,99.8683857420489,0.13161425795110573,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,4.0,3.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,9.119077063765872,9.114928650297996,8.978292273137974,6.494226320903639,0.0,-2.4840659522343365,-0.13663637715956156,0.0,0.6440817857909167,0.6440817857909117,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
9,8.454235978810175,7.9890983069598995,7.396948779877732,-0.11934323101913513,0.0,-7.516292010896866,-0.7573033436721914,0.16515381659425588,0.7698997672292478,-6.820100232769862,7.589999999999115,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
10,15.322542873484053,12.944897590170044,5.229187057333997,-7.860203769408329,0.0,-13.089390826742331,-7.532988862435246,-0.18272167039911275,0.6371150513348027,15.419615051336432,-14.782500000001615,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
11,19.571182484337843,19.565672000463444,18.724586951973,7.321286094237252,0.0,-11.403300857735742,-0.8426600484918936,0.0015750000000000599,0.9523263348690421,0.7423263348690021,0.21000000000003283,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
12,-49.0,-149.0,-149.0,-120.9355245488754,0.0,28.06447545112458,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
13,-10.00876467288981,-10.942873222731592,-11.377953371186717,-1.6812710215316626,0.0,9.696682349655054,-0.5098674196739745,0.07478727122395865,0.4600708753663838,-9.664929124632943,10.124999999999318,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
14,-4.637923262880577,-5.240953695701473,-14.243454551637956,-18.304125349152507,0.0,-4.0606707975145495,-8.96513871567177,-0.03736214026504232,0.953003414595031,7.765503414595192,-6.812500000000199,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
15,27.638422372674032,27.633834365731072,27.636085940730148,14.630368180121609,6.938893903907228e-18,-13.00571776060854,0.0,0.0022515750000000855,0.9007785875842131,0.6773482813856082,0.22343030619859425,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
16,-13.034811844039723,-13.035081568799743,-27.19308808094464,-17.54947795439303,0.0,9.643610126551605,-14.158006512145676,0.0,0.164232993037416,0.16423299303744354,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
17,-5.236743266119447,-5.265380824570126,-8.331375974654314,-3.5836826940092603,0.0,4.747693280645044,-3.0660821915103327,8.704142756835378e-05,0.6472635270756655,1.6922635270748891,-1.0449999999991846,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
18,5.4596683795080025,5.349846863724341,3.971227591696854,-2.4741078881374636,0.0,-6.445335479834322,-1.3784889906357307,-0.00013028139026783999,0.021067052827078214,-3.313932947174111,3.335000000001191,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
19,42.45412494414944,42.45104787990991,41.67282454611419,-0.4870270372346712,0.0,-42.159851583348846,-0.7787505387962028,0.0005272049999999486,0.6070723127350988,0.5547129203048972,0.052359392430222904,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
20,-41.0,-141.0,-141.0,-124.07512876825722,0.0,16.924871231742785,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
21,12.635725381835073,-56.44085888422396,-56.39404837742468,-60.8002268328129,0.0,-4.4061784553882655,0.0,0.04681050679873776,100.0,83.1123241559632,16.8876758440368,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
22,37.0,-68.65784099999999,-68.69837802376186,-99.5135034740356,0.0,-30.815125450273676,0.0,-0.04053702376166568,100.0,102.78999999999999,-2.7899999999999885,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
23,-16.444750000001076,-115.7958062500011,-115.79191327000068,-118.94133871490628,0.0,-3.1494254449055594,0.0,0.003892980000000148,100.0,99.67500000000001,0.3249999999999815,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
24,9.921849146414388,-5.8520416433319316,-6.092938969050337,-13.173057276629159,1.7763568394002505e-15,-7.080118307578817,-0.2408973257176683,0.0,39.71635782614805,39.716357826148055,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
25,30.74487629170835,4.20021983367652,4.343190976327129,-21.13207300594316,0.0,-25.47526398227029,0.0,0.14297114265282593,63.1590066336677,51.52150663366885,11.637499999998866,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
26,3.495092559034674,3.2820419961444083,2.1772866347515314,-8.101272263476671,0.0,-10.2785588982282,-1.0687734643345834,-0.03598189705535812,0.3395661456821699,4.615740058650031,-4.2761739129678435,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
27,13.447555527095973,-42.43960204168274,-43.373446375685,-32.776721117566694,0.0,10.596725258118305,-0.9360936590002922,0.0022493249999995524,74.94521369482794,74.75771369482798,0.18749999999998934,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
