episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,learning_rate_clob,grad_norm_clob,td_abs_mean_clob,td_abs_max_clob,n_grad_steps_clob,loss_auction,learning_rate_auction,grad_norm_auction,td_abs_mean_auction,td_abs_max_auction,n_grad_steps_auction
0,-7.64410043321368,-7.653957043396262,-30.78430909153724,-18.862475761046102,0.0,11.921833330491134,-23.130352048143152,0.0,0.9928046223997029,0.9928046223996994,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,-5.555429646694392,-5.5655112795637915,-10.587386177216509,-18.201172054989456,2.7755575615628914e-17,-7.613785877772951,-5.042991549209319,0.0211166515531358,0.6759266526088084,-1.0040733473904813,1.6799999999992679,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,27.340710352453243,26.954833355850774,26.29960206486826,-10.0333380233359,0.0,-36.33294008820416,-0.6550700993999499,-0.00016119158352847764,0.1510545631187341,-6.21189984306306,6.3629544061817835,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
3,-37.22428361320323,-37.225771000565274,-48.50059876734663,-9.54098709665433,0.0,38.95961167069227,-11.278683779279504,0.003856012500000877,0.7658320721762664,0.38566661276858183,0.38016545940769164,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
4,25.0,-75.0,-75.0,-83.94042722756598,0.0,-8.940427227565962,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,-44.427349999998114,-136.80828224999777,-136.75602650557747,-81.40082473736808,0.0,55.35520176820941,0.0,0.052255744420755215,100.0,96.11499999999981,3.885000000000197,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,11.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
6,-82.67599999999766,-193.346399999998,-193.3725462513508,-140.19348376367412,0.0,53.17906248767655,0.0,-0.02614625135226236,100.0,105.20000000000016,-5.200000000000156,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
7,-15.455999999998822,-115.65609999999894,-115.65609999999884,-117.2526628863332,0.0,-1.5965628863343704,0.0,-7.111111699487083e-16,100.0,100.10000000000005,-0.10000000000005116,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,
8,-9.0,-109.0,-109.0,-102.0472464617225,0.0,6.952753538277521,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
9,-14.89012208447275,-14.98761899698726,-22.146769299902992,-1.8613018239571169,5.551115123125783e-17,20.285467475945904,-7.195016442073415,0.03586613915520797,0.007371408060919293,-3.1224495594726682,3.1298209675335906,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
