episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,35.78580706017783,35.78039872975368,35.7803987297541,-4.118616421447712,0.0,-39.8990151512018,0.0,0.0,0.7354135179715655,0.7354135179715744,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,41.64039016464449,41.61802728519926,40.78857673792546,-1.8452159186070332,0.0,-42.63379265653246,-0.8430449273112686,0.01359438003733615,0.9536544614318814,-1.4954223298193723,2.44907679125125,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,-42.3823478349168,-48.97460208759512,-49.48788232432288,-0.9404810989256234,0.0,48.547401225397266,-0.3828569156801507,-0.13042332104927856,0.06993675920044495,25.67538559141483,-25.605448832214392,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
3,1.3730904899397864,1.371194769920344,1.1252584544058832,21.263809876866993,-5.551115123125783e-17,20.13855142246111,-0.24618514050968088,0.00024882500000012733,0.46039867012227376,0.4353986701222725,0.02500000000001279,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
4,13.0,-87.0,-87.0,-109.53675781199769,0.0,-22.536757811997706,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,16.69250732827095,-33.39146316147305,-33.218976132514705,-28.33402989721269,0.0,4.884946235302025,0.0,0.17248702895873752,100.0,70.7700293130814,29.229970686918605,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
6,9.130800000000818,-94.16593224999883,-94.17494562207725,-97.90173444216121,0.0,-3.726788820083959,0.0,-0.009013372079091827,100.0,101.63499999999982,-1.6349999999998133,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,49.51437500000014,-49.81176406249985,-49.80837724999921,-80.90403023052943,0.0,-31.095652980530232,0.0,0.003386812500000129,100.0,99.6625,0.3375000000000128,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,35.460053975311894,3.0078530809278945,3.0078530809300403,-19.761039489515866,0.0,-22.76889257044591,0.0,0.0,56.96683324038999,56.966833240389974,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
9,-59.01439341989317,-70.05480439525031,-72.7110146301526,-33.262361049911824,0.0,39.448653580240766,-2.8279308106965857,0.1717205757940732,34.779613891153346,33.22711389115393,1.5524999999994051,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
