episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,35.78580706017783,35.78039872975368,35.7803987297541,-4.118616421447712,0.0,-39.8990151512018,0.0,0.0,0.7354135179715655,0.7354135179715744,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,41.82753340458112,41.813655327031476,35.59592998864829,-7.037862667884154,0.0,-42.63379265653246,-6.203853462278801,-0.013871876103380395,0.9536544614318814,1.1780525264029182,-0.2243980649710404,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,48.277402254214394,-69.8361592060327,-72.70643789216246,-24.159036666765182,0.0,48.547401225397266,-4.205181144019178,1.3349024578881983,0.06993675920044495,-108.68006324080194,108.75000000000239,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
3,1.7730752798174216,1.7698879625686972,-2.875615240211184,17.262936182249916,3.469446951953614e-18,20.13855142246111,-4.655705027776293,0.010201825000000268,0.46039867012227376,-0.5645633045748168,1.0249619746971022,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
4,13.0,-87.0,-87.0,-109.53675781199769,0.0,-22.536757811997706,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,27.98475000000144,-113.56575625000417,-113.92199671407208,-109.03705047877,0.0,4.884946235302025,0.0,-0.3562404640683887,100.0,118.97500000000235,-18.975000000002353,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
6,9.360000000000582,-99.84249999999889,-99.88009809399296,-103.60688691407692,0.0,-3.726788820083959,0.0,-0.03759809399412863,100.0,104.49999999999974,-4.499999999999744,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,49.5981345245886,-50.84414709067964,-50.84640496568056,-81.94205794621075,0.0,-31.095652980530232,0.0,-0.0022578749999995515,100.0,100.2208968305853,-0.2208968305852977,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,35.460053975311894,3.0078530809278945,3.0078530809300403,-19.761039489515866,0.0,-22.76889257044591,0.0,0.0,56.96683324038999,56.966833240389974,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
9,-35.35332978377846,-50.555982248874805,-60.75783436126463,-21.309180781023894,0.0,39.448653580240766,-11.180494331747827,0.9786422193582578,34.779613891153346,-38.990578945555995,73.77019283670933,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
10,-7.799938800355449,-14.334585467557245,-20.737318030583896,6.08655135712239,0.0,26.823869387706303,-7.1720976850386435,0.7693651220125511,37.48669150221929,-25.562954968473022,63.0496464706923,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
11,-3.9310611021833757,-33.53301980013501,-34.48025471982738,-37.71015533205455,0.0,-3.2299006122271807,-0.9635148021945952,0.016279882500000616,55.93882653739576,54.407682084381825,1.5311444530139255,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
12,10.989984325273326,10.988554373909546,10.835197264545478,-8.798028644798858,0.0,-19.633225909344336,-0.1533571093623891,0.0,0.3781469772165451,0.378146977216522,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
