run,algorithm,seed,setting,symbol,episodes,validation_paths,confirmation_paths,initial_bps,last_bps,selected_bps,selected_episode,best_to_last_bps,confirmation_bps,confirmation_pnl_bps,auction_bps,opening_inventory,final_inventory,absolute_final_inventory,auction_qty,finite_evaluations,finite_post_warmup_losses,gap_as_bps,gap_twap_bps
cat811_final_spec,ddpg,811,historical_sp500_midquotes,CAT,200,64,128,8.995054328610381,10.174742515192447,10.174742515192447,200,0.0,7.42868426235142,8.070572080476424,0.23749489389039843,7.299509568724879,0.033054859017068755,5.388985639293023,7.266454709707811,True,True,1.5634114649838153,6.796451062006769
cat811_ln,ddpg,811,historical_sp500_midquotes,CAT,200,64,128,8.947072951391887,12.04791106707668,12.04791106707668,200,0.0,8.71889151039206,9.734822153643453,1.0086619192767108,8.684766399538251,3.981567913329594,6.005200854656463,4.703198486208651,True,True,2.853618713024455,8.086658310047408
cat811_v18,ddpg,811,historical_sp500_midquotes,CAT,200,64,128,8.947072951391887,2.802759858540257,8.023278301918033,99,6.289922788973998,2.5226564962154074,7.139107214097095,-7.023592574372871,15.28542913004545,-12.015491566573555,18.57341028885614,27.300920696619006,True,True,-3.342616301152198,1.8904232958707572
confirm_cat1979_ln,ddpg,1979,historical_sp500_midquotes,CAT,200,64,128,0.3017471197234895,6.97927078376966,6.97927078376966,200,0.0,10.898813088197679,11.788362076149298,0.5879551813709671,7.78815603290805,4.162092380610428,4.963406176479942,3.626063652297624,True,True,6.250112992614218,9.63191533038298
confirm_cat1979_v18,ddpg,1979,historical_sp500_midquotes,CAT,200,64,128,0.3017471197234895,4.37868208918414,5.91486509993599,150,1.5361830107518504,10.078373643064978,12.18328698995802,1.4095755961579068,10.164612943186746,5.467533950194646,11.177801847792443,4.697078992992104,True,True,5.429673547481519,8.811475885250282
confirm_ddpg1951_candidate,ddpg,1951,synthetic_rough_heston,,200,64,128,6.659451667095058,7.032133825689973,7.406746904226541,100,0.37461307853656756,5.536477707919883,6.309169351721861,0.3311497035892858,3.1594782196404188,0.5773381436985288,4.761832311188959,2.582140075941891,True,True,1.5871475274024407,9.786875854446436
confirm_ddpg1951_v18,ddpg,1951,synthetic_rough_heston,,200,64,128,6.621597977032996,5.62802529953887,5.866158112954219,100,0.993572677494126,4.391294445723757,4.939641619124028,0.5867472831208963,4.69638683424191,2.182693163445309,3.053579313390378,2.513693670796601,True,True,0.44196426520631427,8.641692592250308
confirm_ddpg1973_candidate,ddpg,1973,synthetic_rough_heston,,200,64,128,4.72590787664492,3.446336451690951,3.446336451690951,200,1.2795714249539687,2.8700242439973227,5.99946932436246,0.8349733620798373,12.921265909315254,8.471673336476318,10.68752572758588,4.449592572838931,True,True,0.11179312737140096,9.508237933775229
confirm_ddpg1973_v18,ddpg,1973,synthetic_rough_heston,,200,64,128,4.692477534871895,4.6554106592475994,4.6554106592475994,200,0.037066875624295115,4.089451075482778,6.439129399926857,2.4124669163509194,14.532043833730114,7.692786880800309,9.340304816058072,6.839256952929807,True,True,1.3312199588568565,10.727664765260684
confirm_dqn1951_candidate,dqn,1951,synthetic_rough_heston,,200,64,128,-0.628565247446484,6.198035435817955,7.270496584313614,99,1.072461148495659,3.926534171462211,5.691830241154796,-0.4099095672160602,5.984506769646638,6.889897981065491,7.090584982948338,-0.9053912114188549,True,True,-0.02279600905523138,8.176932317988763
confirm_dqn1951_v18,dqn,1951,synthetic_rough_heston,,200,64,128,0.4582514233341384,5.147103741864964,5.948427334742858,150,0.8013235928778943,3.160836982599189,4.929537159803136,0.0252344309258555,5.254635895431207,5.82004455601002,6.045011236908136,-0.5654086605788112,True,True,-0.7884931979182537,7.411235129125741
confirm_dqn1973_candidate,dqn,1973,synthetic_rough_heston,,200,64,128,3.698713648765543,7.436820183944001,7.436820183944001,200,0.0,4.828083347398174,5.780515275402578,0.0397023386870325,5.432687320991614,5.130332009557886,5.70716506807082,0.3023553114337289,True,True,2.0698522307722524,11.46629703717608
confirm_dqn1973_v18,dqn,1973,synthetic_rough_heston,,200,64,128,3.7031980065661045,5.062888398120439,5.077279242191001,150,0.014390844070562459,3.3899605353448066,6.557302947788892,0.051311588024328565,11.280730529510402,11.493065999443711,11.918270150409313,-0.21233546993330937,True,True,0.6317294187188848,10.028174225122712
confirm_sac1951_candidate,sac,1951,synthetic_rough_heston,,200,64,128,6.112347302879639,6.651472759429619,6.651472759429619,200,0.0,5.079799510173384,5.925161072737386,0.5682797543571227,4.0196040271401365,1.547870924046164,5.727743068004733,2.471733103093972,True,True,1.1304693296559416,9.330197656699937
