contrast,positive,negative,mean_difference_bps,n_training_seed_pairs,n_matched_confirmation_paths
auction_credit,dqn1931_economic_dense,dqn1931_economic_sparse,-1.2397394453885309,1,128
h_feature,dqn1931_economic_dense,dqn1931_feature_off,-0.35015448489122164,1,128
h_anchor,dqn1931_indicative,dqn1931_full,-0.20134031603580824,1,128
clob_preference,dqn1931_clob_only,dqn1931_economic_dense,1.274515985768801,1,128
auction_preference,dqn1931_auction_only,dqn1931_economic_dense,0.1359598430669944,1,128
combined_preferences,dqn1931_full,dqn1931_economic_dense,1.4432788161863281,1,128
forecast_calibration,dqn1931_full,dqn1931_raw_forecast,1.5373824056710235,1,128
auction_credit,ddpg1931_economic_dense,ddpg1931_economic_sparse,-0.898574684324644,1,128
h_feature,ddpg1931_economic_dense,ddpg1931_feature_off,0.8188809877241181,1,128
h_anchor,ddpg1931_indicative,ddpg1931_full,0.41224680508010103,1,128
clob_preference,ddpg1931_clob_only,ddpg1931_economic_dense,0.3212754834887729,1,128
auction_preference,ddpg1931_auction_only,ddpg1931_economic_dense,0.331014394663754,1,128
combined_preferences,ddpg1931_full,ddpg1931_economic_dense,-0.053588094320503016,1,128
forecast_calibration,ddpg1931_full,ddpg1931_raw_forecast,0.38051762964612146,1,128
