episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,2.6631354201363138,2.6622014694695935,2.6622014694709186,-7.738741621747563,0.0,-10.400943091218483,0.0,0.0,0.30560606452101524,0.305606064521025,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,-1.7364381748884625,-4.501446784020406,-7.813288753089364,-28.81342823346755,0.0,-21.000139480378188,-3.428509405675129,0.11666743660687745,0.10131941216575058,-16.62831503530031,16.729634447466083,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,1.0,0.0,2.0,,,,,,,,,,,,
2,-6.806870227352192,-6.9536597546225,-7.380576907188536,2.156546013810914,0.0,9.537122920999447,-0.4270251119520765,0.00010795938318026587,0.31879460919077474,3.8313121416860185,-3.5125175324952402,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
3,18.845028138475246,18.839523219873154,17.63084468984302,-25.487489286580907,0.0,-43.118333976423926,-1.2089807500315146,0.0003022200000001547,0.801951386688657,0.7419513866886427,0.06000000000000938,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
4,36.0,-64.0,-64.0,-90.66454753679886,0.0,-26.664547536798864,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
5,32.3479499999994,-47.098075562501194,-47.0509064315036,-67.06025482947052,0.0,-20.009348397966917,0.0,0.04716913099692494,100.0,89.13250000000033,10.867499999999666,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
6,-25.115624999998545,-163.61910156250417,-163.7871976508229,-127.18289582106155,0.0,36.604301829761276,0.0,-0.1680960883183771,100.0,117.68750000000239,-17.687500000002387,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
7,-18.435,-118.435,-118.43445022,-104.25773781434764,0.0,14.176712405652383,0.0,0.0005497800000002814,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,-24.413311214344503,-24.44857132303479,-29.198723767756235,5.156265806812442,0.0,34.35498957456868,-4.7501524447194186,0.0,1.8777675226259447,1.877767522625942,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
9,13.227167952987656,13.224320434821852,13.079741571105785,0.4720345881675746,0.0,-12.607706982938195,-0.15359101908907746,0.009012155373042787,0.7413785830941464,-0.5336214169057514,1.274999999999885,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
