phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.03257443101283399,0.10579999999999881,0.0024650221329156215,0.020627999999999487,ddpg,CAT,123
clob,0.10634957782595522,0.12742436906087334,0.02610384087402065,0.031270879852058564,ddpg,CAT,123
auction,0.031204238475651774,0.11349999999999906,0.0020558268800504285,0.021828999999999703,ddpg,CAT,1618
clob,0.10968966816845022,0.12858166306226523,0.02630059070539013,0.03124359821085367,ddpg,CAT,1618
auction,0.03429590414032273,0.11089999999999815,0.0025150080247495093,0.022886999999999543,ddpg,CAT,2024
clob,0.12215685987450774,0.13851575992523435,0.032836995512247114,0.03708911317889365,ddpg,CAT,2024
auction,0.036395392068885674,0.13730000000000042,0.002785125135058999,0.033456999999999994,ddpg,CAT,2718
clob,0.12589915044261452,0.146684541503523,0.03442809553670796,0.04030848273306559,ddpg,CAT,2718
auction,0.032258701779718284,0.12659999999999838,0.002495580120252964,0.027267999999999692,ddpg,CAT,314
clob,0.1147998037882703,0.1331299903038818,0.03072055693863405,0.035106073276393895,ddpg,CAT,314
auction,0.02830837205463867,0.11979999999999957,0.001751564231223166,0.02256399999999973,ddpg,CAT,42
clob,0.10707697659137548,0.12430908967872759,0.024516220168065497,0.028734551895611735,ddpg,CAT,42
auction,0.030708719111563337,0.1159999999999985,0.002118228208399162,0.024973999999999653,ddpg,CAT,577
clob,0.10853896225141767,0.12990175406048274,0.02624409467661532,0.031923523246034285,ddpg,CAT,577
auction,0.03417929959160982,0.12369999999999831,0.0031835912641098242,0.027654999999999604,ddpg,CAT,7
clob,0.10457287854365928,0.12311272350900802,0.02391568453028078,0.028162677219046924,ddpg,CAT,7
auction,0.03426318446934187,0.13219999999999882,0.002458246713127628,0.03146599999999941,ddpg,CAT,811
clob,0.11548231050143183,0.13230408678795474,0.028455465446688404,0.032663049399488796,ddpg,CAT,811
auction,0.03353118973274097,0.11429999999999804,0.002386774548133544,0.02163099999999945,ddpg,CAT,99
clob,0.10820976096128032,0.1256412509596358,0.025145194369170246,0.02984375825704014,ddpg,CAT,99
auction,0.02884855685296942,0.10190000000000066,0.002900306190502672,0.01756500000000016,ddpg,GOOGL,123
clob,0.07797627651385916,0.09708034532526137,0.01361080753983821,0.017725965011835158,ddpg,GOOGL,123
auction,0.02548010574055853,0.10220000000000053,0.0014706864791390133,0.015180000000000034,ddpg,GOOGL,1618
clob,0.07650568191231603,0.0951041954852032,0.010857243735805737,0.015289483213230766,ddpg,GOOGL,1618
auction,0.029661310345466926,0.11420000000000055,0.002308521456398572,0.021582000000000195,ddpg,GOOGL,2024
clob,0.09438307480850605,0.11221950681616942,0.018819035216053884,0.022990993324346395,ddpg,GOOGL,2024
auction,0.02601211008056646,0.12150000000000044,0.0017929225586963294,0.0231370000000002,ddpg,GOOGL,2718
clob,0.08665812241824854,0.10521929450972226,0.013434308517211516,0.018411856774688498,ddpg,GOOGL,2718
auction,0.023998098200766923,0.09070000000000089,0.0012178643389089627,0.014639000000000305,ddpg,GOOGL,314
clob,0.07471170661755996,0.09492098367984582,0.009989859666768186,0.015170240398105035,ddpg,GOOGL,314
auction,0.0246284733689328,0.09010000000000128,0.0014321405354818847,0.012329000000000222,ddpg,GOOGL,42
clob,0.08134967791761621,0.0976210506356018,0.013580349292228011,0.017643039708400726,ddpg,GOOGL,42
