market,phase,h_mae,mid_mae,mae_gain,ci_low,ci_high,h_rmse,mid_rmse
CAT,auction,0.03314327911351713,0.11995249999999877,0.08680922088648163,0.08125189973712564,0.09214936723276576,0.05047719865639701,0.15978868858589343
CAT,clob,0.1127424385521445,0.13139892459382624,0.018656486041681727,0.017653269069367792,0.01969591239747549,0.1674778643760454,0.1811191204216301
GOOGL,auction,0.026697513395129886,0.10245750000000084,0.07575998660487096,0.07116254250760957,0.08135819169244358,0.04543573392808026,0.1307548278267392
GOOGL,clob,0.08057434995096416,0.09886363258906725,0.018289282638103095,0.017741080694369662,0.018799432029076187,0.11320758869755228,0.131281784225314
JPM,auction,0.03450822672743332,0.14695500000000136,0.11244677327256805,0.10820175663617967,0.11640346193441156,0.053168909915966844,0.1702473200963839
JPM,clob,0.11689725917806029,0.13480704728873788,0.017909788110677588,0.016499668418188684,0.019390971957260084,0.15859956622626903,0.17202792069429954
MSFT,auction,0.04130593070468286,0.15788000000000044,0.11657406929531759,0.10836282052893063,0.12430294808021494,0.06802184400524282,0.18688030928912694
MSFT,clob,0.12726559676958657,0.14851382518503925,0.021248228415452687,0.02026817590507494,0.02209964121681043,0.18592142129735525,0.20773140772403426
PG,auction,0.022918906913629876,0.09631999999999982,0.07340109308636994,0.06833271525825699,0.07829317689614725,0.03534399627765295,0.11634539097016225
PG,clob,0.07524946080082233,0.0863217017190252,0.01107224091820286,0.010601742433184201,0.011588027649989839,0.10956573586659556,0.11758532021873448
Synthetic,auction,0.04882720199142522,0.13995000000000027,0.09112279800857506,0.08513965591818794,0.09662968124554416,0.08757761609293249,0.18132181335956293
Synthetic,clob,0.18024737032692517,0.19261951752385142,0.012372147196926267,0.010388948862056347,0.014158985546472507,0.2901972491384363,0.2958484778192375
