exhibit,metric,identity,before,latest,change
economic_performance,mean,Synthetic / as / gap_as_bps,0.0,0.0,0.0
economic_performance,ci_low,Synthetic / as / gap_as_bps,0.0,0.0,0.0
economic_performance,ci_high,Synthetic / as / gap_as_bps,0.0,0.0,0.0
economic_performance,mean,Synthetic / as / gap_dqn_bps,-3.241252075,-2.788420657,0.4528314179999997
economic_performance,ci_low,Synthetic / as / gap_dqn_bps,-4.327492842,-3.429607019,0.8978858229999997
economic_performance,ci_high,Synthetic / as / gap_dqn_bps,-2.108001268,-2.249701188,-0.14169991999999976
economic_performance,mean,Synthetic / as / gap_twap_bps,6.567374278,7.017839869,0.4504655910000004
economic_performance,ci_low,Synthetic / as / gap_twap_bps,5.529720844,6.044180604,0.5144597600000003
economic_performance,ci_high,Synthetic / as / gap_twap_bps,7.560032639,7.991513809,0.43148116999999964
economic_performance,mean,Synthetic / as / objective_bps,0.1210015617,1.405097952,1.2840963903
economic_performance,ci_low,Synthetic / as / objective_bps,-1.971238745,0.06225542558,2.03349417058
economic_performance,ci_high,Synthetic / as / objective_bps,2.170616425,2.975937136,0.8053207110000002
economic_performance,mean,Synthetic / as / pnl_bps,5.165333923,6.447633834,1.282299911
economic_performance,ci_low,Synthetic / as / pnl_bps,3.045533892,4.975313609,1.9297797169999997
economic_performance,ci_high,Synthetic / as / pnl_bps,7.299686899,8.270116201,0.9704293020000003
economic_performance,mean,Synthetic / ddpg / gap_as_bps,3.939434362,2.629789045,-1.3096453170000002
economic_performance,ci_low,Synthetic / ddpg / gap_as_bps,3.212792842,1.70008468,-1.5127081619999998
economic_performance,ci_high,Synthetic / ddpg / gap_as_bps,4.627990275,3.498099963,-1.1298903120000001
economic_performance,mean,Synthetic / ddpg / gap_dqn_bps,0.6981822875,-0.1586316124,-0.8568138999
economic_performance,ci_low,Synthetic / ddpg / gap_dqn_bps,-0.04978737827,-0.6537333025,-0.6039459242299999
economic_performance,ci_high,Synthetic / ddpg / gap_dqn_bps,1.55590907,0.2864079568,-1.2695011132
economic_performance,mean,Synthetic / ddpg / gap_twap_bps,10.50680864,9.647628914,-0.8591797259999989
economic_performance,ci_low,Synthetic / ddpg / gap_twap_bps,9.88718848,8.71541312,-1.1717753600000016
economic_performance,ci_high,Synthetic / ddpg / gap_twap_bps,11.20423613,10.53140152,-0.6728346100000007
