market,policy,IS,IS_lambda,ci_low,ci_high
Synthetic,as,-6.4476338335742565,-1.4050979516064885,-2.975937136117235,-0.062255425583074446
Synthetic,ddpg,-5.081059272574238,-4.034886996335016,-5.973004734632404,-2.324752783036355
Synthetic,dqn,-5.110230492858945,-4.193518608751221,-5.8521286496611085,-2.7580711115842336
Synthetic,sac,-5.3924063616290585,-4.5390856518731555,-6.353354168539554,-3.1470322670556548
Synthetic,td3,-5.2788613565617695,-4.404002620426998,-6.2541711581763595,-2.746361046627759
Synthetic,twap,-0.358171481631267,5.612741917220562,4.100456641107095,7.013058741540798
Historical,as,-8.437602263991087,-3.391025316226512,-4.0572093447990785,-2.7072346886637066
Historical,ddpg,-7.739538270345641,-6.676902321224162,-7.038491431909087,-6.308185564779365
Historical,dqn,-7.116811532182332,-5.969157759605816,-6.41662962051362,-5.519480590809503
Historical,sac,-7.349210928281646,-6.439607779917262,-6.855652559620843,-5.991355148023089
Historical,td3,-7.267799992373325,-6.392911148694179,-6.702388444948669,-6.045141672275187
Historical,twap,-3.455806214719982,2.5303972668032104,2.2675662159305685,2.7901559092627415
