market,policy,episodes_completed,mean,ci_low,ci_high,n_seeds
Synthetic,ddpg,0,0.0,0.0,0.0,10
Synthetic,ddpg,50,3.6594759487207837,-1.6571594665504052,9.14938362732582,10
Synthetic,ddpg,99,3.9023925281336083,2.060325318444215,5.850669734377,10
Synthetic,ddpg,100,4.035707741536969,2.1237045115473787,6.13727328719785,10
Synthetic,ddpg,150,3.9388597074492417,1.3243887065689661,6.734749474125972,10
Synthetic,ddpg,200,3.9442539581952913,1.492420207478263,7.707511943625596,10
Synthetic,ddpg,250,3.4302158148953916,1.750250190650927,5.588971691122908,10
Synthetic,dqn,0,0.0,0.0,0.0,10
Synthetic,dqn,50,0.5789713626679317,-1.2105921377976794,2.22997141614356,10
Synthetic,dqn,99,0.39132341086832034,0.016287545038946045,0.788272235065027,10
Synthetic,dqn,100,0.4404776922611756,-0.08893836322420537,1.0189328620548173,10
Synthetic,dqn,150,1.583304587603365,0.7197200621283603,2.4825551683827864,10
Synthetic,dqn,200,2.7912476960216006,1.845611425422097,4.211331414904258,10
Synthetic,dqn,250,3.6127193546939047,2.337368664843065,5.441533792300042,10
Synthetic,sac,0,0.0,0.0,0.0,10
Synthetic,sac,50,3.1308957520081804,-1.2967405267305439,8.859556110042698,10
Synthetic,sac,99,1.5349535753442907,0.4233709751867488,3.0602155647307048,10
Synthetic,sac,100,1.4181567628550726,0.45076359344805517,2.4816094167508895,10
Synthetic,sac,150,1.3054306713789274,0.24706548857943772,2.212671181100674,10
Synthetic,sac,200,1.2080494558261958,0.34003822500533537,1.993481302193062,10
Synthetic,sac,250,1.302748844232692,0.6289724937539465,2.0308428085813417,10
Synthetic,td3,0,0.0,0.0,0.0,10
Synthetic,td3,50,5.403646360377787,-1.0923099033466046,11.522029053463909,10
Synthetic,td3,99,4.592752406002533,2.1787591033295834,6.877174549018048,10
Synthetic,td3,100,4.33319686554942,2.0086005804760343,6.593300684420532,10
Synthetic,td3,150,2.060245008390558,1.0591925587860211,3.2232793368991652,10
Synthetic,td3,200,1.6195495067329095,0.5036757573516949,2.8276203189613636,10
Synthetic,td3,250,1.4495202467736814,0.5585895138696391,2.4239520814942774,10
