market,policy,metric,mean,ci_low,ci_high,n_seeds
CAT,ddpg,auction_value_bps,1.794410853,1.345955946,2.238858325,10
CAT,ddpg,auction_cash_bps,0.5309453205,0.3857466959,0.6951311225,10
CAT,ddpg,auction_risk_relief_bps,1.263465533,0.7201030357,1.764920587,10
CAT,ddpg,auction_fees_bps,0.010331,0.005809975,0.0145342,10
CAT,ddpg,open_abs_inventory_pct,8.692385347,6.471778027,10.70403852,10
CAT,ddpg,close_abs_inventory_pct,6.240997155,5.461844782,7.056682875,10
CAT,dqn,auction_value_bps,0.2766393434,0.1484618806,0.4101826405,10
CAT,dqn,auction_cash_bps,0.0490211457,0.005302776331,0.1009652898,10
CAT,dqn,auction_risk_relief_bps,0.2276181977,0.09998935337,0.3608681435,10
CAT,dqn,auction_fees_bps,0.058296,0.049045625,0.0656841,10
CAT,dqn,open_abs_inventory_pct,7.584246526,5.975590524,9.072720786,10
CAT,dqn,close_abs_inventory_pct,7.392284324,6.127438506,8.753424991,10
CAT,sac,auction_value_bps,1.362541462,0.9459158412,1.804808679,10
CAT,sac,auction_cash_bps,0.4700176358,0.326439682,0.6397399606,10
CAT,sac,auction_risk_relief_bps,0.8925238261,0.5002052189,1.304275983,10
CAT,sac,auction_fees_bps,0.043119,0.025883975,0.0615119,10
CAT,sac,open_abs_inventory_pct,6.522019409,4.834304768,8.208113187,10
CAT,sac,close_abs_inventory_pct,5.345876068,4.574708226,6.194384154,10
CAT,td3,auction_value_bps,0.9655468911,0.5310550481,1.446401206,10
CAT,td3,auction_cash_bps,0.2873018097,0.1086108774,0.499960014,10
CAT,td3,auction_risk_relief_bps,0.6782450814,0.2306174462,1.164446198,10
CAT,td3,auction_fees_bps,0.063195,0.021392,0.112820075,10
CAT,td3,open_abs_inventory_pct,5.390902659,3.619114332,7.1537842,10
CAT,td3,close_abs_inventory_pct,4.509234615,3.661201355,5.419817211,10
GOOGL,ddpg,auction_value_bps,1.53723161,1.046779641,2.052634003,10
GOOGL,ddpg,auction_cash_bps,0.1771878427,0.02612928857,0.3247264286,10
GOOGL,ddpg,auction_risk_relief_bps,1.360043767,0.8912552356,1.881731234,10
GOOGL,ddpg,auction_fees_bps,0.023298,0.005519,0.049926075,10
GOOGL,ddpg,open_abs_inventory_pct,9.835241859,7.534719397,12.34857242,10
GOOGL,ddpg,close_abs_inventory_pct,6.870247458,5.681794248,8.270321072,10
GOOGL,dqn,auction_value_bps,0.5213053748,0.3672670736,0.6818848309,10
GOOGL,dqn,auction_cash_bps,0.09253037268,-0.0009167393395,0.2224194438,10
GOOGL,dqn,auction_risk_relief_bps,0.4287750021,0.1934074688,0.6423518744,10
GOOGL,dqn,auction_fees_bps,0.033361,0.02310195,0.0481471,10
GOOGL,dqn,open_abs_inventory_pct,8.316469601,6.788944579,9.576351934,10
GOOGL,dqn,close_abs_inventory_pct,7.47026129,6.98411528,7.957677415,10
GOOGL,sac,auction_value_bps,2.019729812,1.268899793,2.852100452,10
GOOGL,sac,auction_cash_bps,0.1722227152,0.03584690656,0.3072615435,10
GOOGL,sac,auction_risk_relief_bps,1.847507097,1.072165469,2.666678604,10
GOOGL,sac,auction_fees_bps,0.043495,0.0282747,0.058254075,10
GOOGL,sac,open_abs_inventory_pct,10.19930108,7.368016629,13.00845002,10
GOOGL,sac,close_abs_inventory_pct,6.440027624,5.398628272,7.514002163,10
GOOGL,td3,auction_value_bps,1.630295599,1.128966039,2.075215641,10
GOOGL,td3,auction_cash_bps,0.1428262028,0.02504747324,0.2686581738,10
GOOGL,td3,auction_risk_relief_bps,1.487469396,0.9641649614,1.968688151,10
GOOGL,td3,auction_fees_bps,0.039869,0.013251675,0.07067545,10
GOOGL,td3,open_abs_inventory_pct,9.431235633,7.03626913,11.42351834,10
GOOGL,td3,close_abs_inventory_pct,6.222306345,4.81948914,7.577827688,10
JPM,ddpg,auction_value_bps,1.300348918,0.9927934764,1.605121224,10
JPM,ddpg,auction_cash_bps,0.2716290288,0.01344478181,0.557277461,10
JPM,ddpg,auction_risk_relief_bps,1.028719889,0.5901783752,1.46803367,10
JPM,ddpg,auction_fees_bps,0.013908,0.00541795,0.02330905,10
JPM,ddpg,open_abs_inventory_pct,7.931400716,5.594740565,10.42894391,10
JPM,ddpg,close_abs_inventory_pct,6.133507545,4.968579991,7.562974339,10
JPM,dqn,auction_value_bps,0.1826611599,0.06081131306,0.3135002756,10
JPM,dqn,auction_cash_bps,0.07333290982,-0.04635194957,0.1850195403,10
JPM,dqn,auction_risk_relief_bps,0.10932825,-0.02897698611,0.2528334254,10
JPM,dqn,auction_fees_bps,0.050441,0.037995875,0.0637955,10
JPM,dqn,open_abs_inventory_pct,5.104234114,3.991710575,6.216143316,10
JPM,dqn,close_abs_inventory_pct,5.599110404,4.87243225,6.318781601,10
JPM,sac,auction_value_bps,1.16161767,0.7359455963,1.564079077,10
JPM,sac,auction_cash_bps,0.320696704,0.145227706,0.5104966663,10
JPM,sac,auction_risk_relief_bps,0.8409209655,0.3764812997,1.279833284,10
JPM,sac,auction_fees_bps,0.037586,0.021568875,0.0538681,10
JPM,sac,open_abs_inventory_pct,7.127984629,5.053174146,9.155878759,10
JPM,sac,close_abs_inventory_pct,6.345464055,5.418219915,7.350440103,10
JPM,td3,auction_value_bps,1.263383916,0.9390221052,1.581974505,10
JPM,td3,auction_cash_bps,0.2615491846,0.05392688542,0.4620207797,10
JPM,td3,auction_risk_relief_bps,1.001834731,0.5645130661,1.454933676,10
JPM,td3,auction_fees_bps,0.035785,0.010368875,0.065227,10
JPM,td3,open_abs_inventory_pct,7.423552829,5.426286822,9.265818775,10
