market,policy,metric,mean,ci_low,ci_high,n_seeds
CAT,as,objective_bps,12.55894062,11.40675212,13.66136632,10
CAT,as,pnl_bps,17.60634827,16.69028936,18.39332349,10
CAT,as,gap_dqn_bps,-2.307911896,-2.862698055,-1.805351648,10
CAT,as,gap_as_bps,0,0,0,10
CAT,as,gap_twap_bps,5.959999004,5.015674901,6.797846535,10
CAT,ddpg,objective_bps,16.67123659,15.63191043,17.66188215,10
CAT,ddpg,pnl_bps,17.60435753,16.51430032,18.60485938,10
CAT,ddpg,gap_dqn_bps,1.804384075,1.38727195,2.25155185,10
CAT,ddpg,gap_as_bps,4.112295971,3.331696154,4.901467229,10
CAT,ddpg,gap_twap_bps,10.07229498,9.645573893,10.54281918,10
CAT,dqn,objective_bps,14.86685251,13.85389847,15.80488807,10
CAT,dqn,pnl_bps,16.18459296,15.29613359,16.97538369,10
CAT,dqn,gap_dqn_bps,0,0,0,10
CAT,dqn,gap_as_bps,2.307911896,1.802181375,2.859053996,10
CAT,dqn,gap_twap_bps,8.2679109,7.710000466,8.781346961,10
CAT,sac,objective_bps,15.59609384,14.64818188,16.47289577,10
CAT,sac,pnl_bps,16.31752855,15.40971064,17.14290874,10
CAT,sac,gap_dqn_bps,0.7292413299,0.2322891622,1.317851791,10
CAT,sac,gap_as_bps,3.037153225,2.391205297,3.718115025,10
CAT,sac,gap_twap_bps,8.99715223,8.375257437,9.621251809,10
CAT,td3,objective_bps,15.13029729,14.56336466,15.73126413,10
CAT,td3,pnl_bps,15.75982355,15.1297472,16.39879489,10
CAT,td3,gap_dqn_bps,0.2634447809,-0.4923725812,0.887706638,10
CAT,td3,gap_as_bps,2.571356676,1.576013958,3.438545896,10
CAT,td3,gap_twap_bps,8.531355681,7.793962597,9.228653717,10
CAT,twap,objective_bps,6.598941613,5.81317481,7.30797004,10
CAT,twap,pnl_bps,12.58500257,11.69123051,13.3637677,10
CAT,twap,gap_dqn_bps,-8.2679109,-8.781349702,-7.712376296,10
CAT,twap,gap_as_bps,-5.959999004,-6.78450546,-5.02453493,10
CAT,twap,gap_twap_bps,0,0,0,10
GOOGL,as,objective_bps,-0.5377518768,-1.459363652,0.3949617714,10
GOOGL,as,pnl_bps,4.512946843,3.955911436,4.958408814,10
GOOGL,as,gap_dqn_bps,-3.422986001,-4.007803613,-2.838586379,10
GOOGL,as,gap_as_bps,0,0,0,10
GOOGL,as,gap_twap_bps,6.841398962,6.108873509,7.511227382,10
GOOGL,ddpg,objective_bps,2.988588514,2.130168243,3.725312613,10
GOOGL,ddpg,pnl_bps,4.103336704,3.252879595,4.849838598,10
GOOGL,ddpg,gap_dqn_bps,0.1033543902,-0.3157150374,0.4940211558,10
GOOGL,ddpg,gap_as_bps,3.526340391,2.872791727,4.226358238,10
GOOGL,ddpg,gap_twap_bps,10.36773935,10.09937067,10.62907929,10
GOOGL,dqn,objective_bps,2.885234124,2.066994803,3.655089881,10
GOOGL,dqn,pnl_bps,4.096096347,3.204467775,4.823300027,10
GOOGL,dqn,gap_dqn_bps,0,0,0,10
GOOGL,dqn,gap_as_bps,3.422986001,2.840647183,4.009193698,10
GOOGL,dqn,gap_twap_bps,10.26438496,9.895908311,10.63722968,10
GOOGL,sac,objective_bps,3.331458809,2.446241532,4.119690756,10
GOOGL,sac,pnl_bps,4.230642219,3.303042305,4.991823877,10
GOOGL,sac,gap_dqn_bps,0.4462246847,-0.232601451,1.072979212,10
GOOGL,sac,gap_as_bps,3.869210685,2.770565422,4.950797775,10
GOOGL,sac,gap_twap_bps,10.71060965,10.12746368,11.27672694,10
GOOGL,td3,objective_bps,3.442476659,2.673166818,4.17292875,10
GOOGL,td3,pnl_bps,4.394732049,3.491335641,5.180650348,10
GOOGL,td3,gap_dqn_bps,0.5572425351,-0.1061234685,1.209135178,10
GOOGL,td3,gap_as_bps,3.980228536,3.103105807,4.819580754,10
GOOGL,td3,gap_twap_bps,10.8216275,10.25968835,11.37307577,10
GOOGL,twap,objective_bps,-7.379150839,-8.091050725,-6.751763913,10
GOOGL,twap,pnl_bps,-1.377607299,-1.930668749,-0.874895479,10
GOOGL,twap,gap_dqn_bps,-10.26438496,-10.6417477,-9.897418515,10
GOOGL,twap,gap_as_bps,-6.841398962,-7.51720494,-6.118775412,10
GOOGL,twap,gap_twap_bps,0,0,0,10
JPM,as,objective_bps,3.218572097,2.421769302,3.982530684,10
JPM,as,pnl_bps,8.263051708,7.530111586,8.942605144,10
JPM,as,gap_dqn_bps,-1.584425425,-2.386465243,-0.7996547308,10
JPM,as,gap_as_bps,0,0,0,10
JPM,as,gap_twap_bps,5.404158358,4.599292463,6.118364869,10
JPM,ddpg,objective_bps,6.058819381,4.982608094,7.040437078,10
JPM,ddpg,pnl_bps,6.953267907,5.777492263,8.051571017,10
JPM,ddpg,gap_dqn_bps,1.255821859,0.7033923221,1.820360722,10
JPM,ddpg,gap_as_bps,2.840247284,2.027382162,3.683370121,10
JPM,ddpg,gap_twap_bps,8.244405642,7.575778607,8.821281566,10
JPM,dqn,objective_bps,4.802997522,3.846390166,5.706126723,10
JPM,dqn,pnl_bps,5.635245747,4.710923599,6.540055163,10
JPM,dqn,gap_dqn_bps,0,0,0,10
JPM,dqn,gap_as_bps,1.584425425,0.8022089396,2.376906838,10
JPM,dqn,gap_twap_bps,6.988583783,6.273090314,7.677505383,10
JPM,sac,objective_bps,5.792781994,4.900211966,6.617519383,10
JPM,sac,pnl_bps,6.640789567,5.715018845,7.543000394,10
JPM,sac,gap_dqn_bps,0.9897844719,0.4488249257,1.515747502,10
JPM,sac,gap_as_bps,2.574209897,1.821834493,3.339403233,10
JPM,sac,gap_twap_bps,7.978368255,7.388043453,8.486331095,10
JPM,td3,objective_bps,5.640568059,4.722131798,6.571646996,10
JPM,td3,pnl_bps,6.471264123,5.471993933,7.494882909,10
JPM,td3,gap_dqn_bps,0.8375705374,-0.01079447385,1.587556825,10
